Hàng,Thứ tự,Dạng Layout,URL,Tiêu đề,Grid Size,Ghi chú
50,57001,3_articles,https://www.sermitsiaq.ag/samfund/trump-truer-med-told-i-forbindelse-med-gronland/2331560,Trump truer med told i forbindelse med Grønland,4,
50,57002,3_articles,https://www.sermitsiaq.ag/kultur/siiva-fleischer-udgiver-en-sang-vi-er-meget-bekymrede-over-usas-pres-pa-vores-land/2331296,Siiva Fleischer udgiver en sang: – Vi er meget bekymrede over USA’s pres på vores land,4,
51,58000,2_articles,https://www.sermitsiaq.ag/samfund/pressemode-om-amerikansk-delegations-besog-i-danmark/2331441,Pressemøde om amerikansk delegations besøg i Danmark,6,
51,58001,2_articles,https://www.sermitsiaq.ag/samfund/demonstrationer-spreder-sig/2331394,Demonstrationer spreder sig,6,
52,59000,2_articles,https://www.sermitsiaq.ag/samfund/trump-nato-bor-bane-vej-for-usas-overtagelse-gronland/2329876,Trump: Nato bør bane vej for USA's overtagelse af Grønland,6,
52,59001,2_articles,https://www.sermitsiaq.ag/erhverv/trump-saetter-igen-gang-i-forretningen/2328783,Trump sætter igen gang i forretningen,6,
53,60000,3_articles,https://www.sermitsiaq.ag/samfund/tekniske-problemer-skaber-forsinkelser-i-ostgronland/2331313,Tekniske problemer skaber forsinkelser i Østgrønland,4,
53,60001,3_articles,https://www.sermitsiaq.ag/samfund/trump-kom-139-ar-for-sent-til-gronland/2328593,Trump kom 139 år for sent til Grønland,4,
53,60002,3_articles,https://www.sermitsiaq.ag/samfund/ung-anholdt-for-roveri-i-maniitsoq/2331266,Ung anholdt for røveri i Maniitsoq,4,
54,61000,1_full,https://www.sermitsiaq.ag/samfund/vivian-motzfeldt-har-fortalt-senatorer-om-gronlaendernes-skraekscenarie/2331130,Vivian Motzfeldt har fortalt senatorer om grønlændernes skrækscenarie,12,
55,62000,2_articles,https://www.sermitsiaq.ag/samfund/medie-jd-vance-deltager-pa-mode-med-danmark-og-gronland/2329163,J.D. Vance deltager på møde med Danmark og Grønland,6,
55,62001,2_articles,https://www.sermitsiaq.ag/erhverv/udenlandske-journalister-skaber-nyt-marked/2329217,Udenlandske journalister skaber nyt marked,6,
56,63000,1_full,https://www.sermitsiaq.ag/inuiaqatigiit/selvstyret-overtager-ansvar-for-flagregler/2329900,Selvstyret overtager ansvar for flagregler,12,
57,64000,2_articles,https://www.sermitsiaq.ag/samfund/jeg-frygter-at-historien-gentager-sig-bare-pa-et-nyt-sprog/2328634,"– Jeg frygter, at historien gentager sig, bare på et nyt sprog",6,
57,64001,2_articles,https://www.sermitsiaq.ag/samfund/demonstrationer-mod-usa/2329207,Demonstrationer mod USA,6,
58,65000,1_full,https://www.sermitsiaq.ag/samfund/statsminister-fortsat-fundamental-uenighed-om-gronland-efter-mode/2326415,Jens-Frederik Nielsen mødes også med amerikanske politikere,12,
59,66000,2_articles,https://www.sermitsiaq.ag/samfund/jens-frederik-nielsen-taler-til-nytarskur-i-danmark/2330883,Jens-Frederik Nielsen taler til nytårskur i Danmark,6,
59,66001,2_articles,https://www.sermitsiaq.ag/samfund/hercules-fly-landede-i-nuuk-onsdag/2330773,Hercules fly landede i Nuuk onsdag,6,
60,67000,1_full,https://www.sermitsiaq.ag/samfund/traehus-i-brand-efter-vaeltet-stearinlys/2330645,Træhus i brand efter væltet stearinlys,12,
61,68000,3_articles,https://www.sermitsiaq.ag/samfund/jens-frederik-nielsen-takker-vivian-motzfeldt-arbejdsgruppe-er-vigtigt-skridt/2330682,Jens-Frederik Nielsen takker Vivian Motzfeldt: Arbejdsgruppe er vigtigt skridt,4,
61,68001,3_articles,https://www.sermitsiaq.ag/samfund/fortrostningsfuldt-og-habefuldt-at-der-kommer-dialog-vi-ma-se-om-der-kan-findes-losning-pa-bekymring/2330624,Fortrøstningsfuldt og håbefuldt at der kommer dialog – vi må se om der kan findes løsning på bekymring,4,
61,68002,3_articles,https://www.sermitsiaq.ag/samfund/se-billederne-kom-med-bag-kulisserne-ved-historisk-mode/2330481,Se billederne: Kom med bag kulisserne ved historisk møde,4,
62,69000,2_articles,https://www.sermitsiaq.ag/samfund/demonstration-i-nuuk-mod-usas-planer/2330522,Demonstration i Nuuk mod USA's planer om annektering,6,
62,69001,2_articles,https://www.sermitsiaq.ag/samfund/kalaallit-lad-os-hejse-vores-flag-pa-vores-fjelde/2330349,"– Kalaallit, lad os hejse vores flag på vores fjelde!",6,
63,70000,1_full,https://www.sermitsiaq.ag/samfund/to-maend-tiltalt-for-forsog-pa-manddrab/2329490,To mænd tiltalt for forsøg på manddrab,12,
64,71000,2_articles,https://www.sermitsiaq.ag/samfund/torsdagens-atlantflyvning-er-aflyst/2330541,Torsdagens atlantflyvning er aflyst,6,
64,71001,2_articles,https://www.sermitsiaq.ag/samfund/vivian-motzfeldt-efter-modet-vi-har-fastslaet-at-usa-skal-respektere-landegraenser/2330372,Vivian Motzfeldt efter mødet: Vi har fastslået at USA skal respektere landegrænser,6,
65,72000,2_articles,https://www.sermitsiaq.ag/samfund/trump-fastholder-onske-om-gronland/2330441,Trump fastholder ønske om Grønland,6,
65,72001,2_articles,https://www.sermitsiaq.ag/samfund/flere-lande-sender-forsvarspersonale-til-gronland/2330461,Flere lande sender forsvarspersonale til Grønland,6,
66,73000,2_articles,https://www.sermitsiaq.ag/samfund/pressemode-om-modet-i-usa/2330300,Motzfeldt og Løkke: Vi er fortsat uenige med USA,6,
66,73001,2_articles,https://www.sermitsiaq.ag/samfund/mute-b-egede-holder-pressemode-i-nuuk/2330382,Múte B. Egede: Vi har igangsat dialogen,6,
67,74000,1_full,https://www.sermitsiaq.ag/samfund/se-billeder-flager-for-solidaritet-og-sammenhold/2329979,Se billeder: Flager for solidaritet og sammenhold,12,
68,75000,3_articles,https://www.sermitsiaq.ag/samfund/forsker-det-her-skal-man-holde-oje-med-under-pressemode-efter-modet/2330060,Forsker: Det her skal man holde øje med under pressemøde efter mødet,4,
68,75001,3_articles,https://www.sermitsiaq.ag/samfund/frankrig-saetter-dato-pa-abning-af-konsulat-i-nuuk/2329666,Frankrig sætter dato på åbning af konsulat i Nuuk,4,
68,75002,3_articles,https://www.sermitsiaq.ag/samfund/en-sejr-i-selv-vil-vaere-at-der-kommer-nyt-mode/2329940,"– En sejr vil være, at der kommer et nyt møde",4,
69,76000,1_full,https://www.sermitsiaq.ag/samfund/jukku-hejser-erfalasorput-pa-ukkusissat-i-frustration-over-den-politiske-situation/2330051,Jukku hejser Erfalasorput på Ukkusissat i frustration over den politiske situation,12,
70,77000,2_articles,https://www.sermitsiaq.ag/samfund/jens-frederik-nielsen-og-mette-f-holder-pressemode/2329251,"Pressemøde: – Vi vælger det Grønland, vi kender i dag, siger Jens-Frederik Nielsen",6,
70,77001,2_articles,https://www.sermitsiaq.ag/samfund/det-danske-forsvar-sender-forkommando-til-nuuk/2329812,Naalakkersuisut bekræfter: Forsvaret vil sende forstærkninger til Grønland,6,
71,78000,1_full,https://www.sermitsiaq.ag/samfund/vi-gambler-ikke-med-vores-ret-til-selvbestemmelse/2329657,Vi gambler ikke med vores ret til selvbestemmelse,12,
72,79000,2_articles,https://www.sermitsiaq.ag/samfund/trump-efter-jens-frederik-udmelding-det-bliver-et-stort-problem-for-ham/2329610,Trump efter Jens-Frederik-udmelding: Det bliver et stort problem for ham,6,
72,79001,2_articles,https://www.sermitsiaq.ag/samfund/prins-joachim-byder-vivian-motzfeldt-velkommen-i-washington-dc/2329647,Prins Joachim byder Vivian Motzfeldt velkommen i Washington D.C.,6,
73,80000,1_full,https://www.sermitsiaq.ag/samfund/trumps-arktis-kommissaer-handling-i-gronland-kan-ske-inden-for-kort-tid/2329579,Trumps Arktis-kommissær: Handling i Grønland kan ske inden for kort tid,12,
74,81000,1_full,https://www.sermitsiaq.ag/erhverv/direktor-i-ge-geopolitisk-usikkerhed-pavirker-virksomhederne-og-investeringsmiljoet/2328803,Direktør i GE: Geopolitisk usikkerhed påvirker virksomhederne og investeringsmiljøet,12,
75,82000,2_articles,https://www.sermitsiaq.ag/sport/jakob-larsen-ansat-som-landstraener-for-kvindelandsholdet/2325648,Jakob Larsen ansat som landstræner for kvindelandsholdet,6,
75,82001,2_articles,https://www.sermitsiaq.ag/samfund/det-er-indre-utilfredshed-der-gor-at-man-vil-have-mere/2328667,"– Det er indre utilfredshed, der gør, at man vil have mere",6,
76,83000,1_full,https://www.sermitsiaq.ag/samfund/forsker-gronland-sender-tydeligt-signal-til-usa-ved-at-vaelge-danmark/2329553,Forsker: Grønland sender tydeligt signal til USA ved at vælge Danmark,12,
77,84000,2_articles,https://www.sermitsiaq.ag/samfund/folketinget-kan-holde-sikre-videomoder-med-gronland-og-faeroerne/2329337,Folketinget kan holde sikre videomøder med Grønland og Færøerne,6,
77,84001,2_articles,https://www.sermitsiaq.ag/samfund/aaja-chemnitz-efter-upn-mode-der-er-behov-for-beredskab/2329248,Aaja Chemnitz efter UPN-møde: Der er behov for beredskab,6,
78,85000,3_articles,https://www.sermitsiaq.ag/samfund/arktis-rundt/2326357,Arktis Rundt,4,
78,85001,3_articles,https://www.sermitsiaq.ag/samfund/nivi-olsen-overtager-mads-pedersens-tidligere-ressort-omrader/2329069,Nivi Olsen overtager Mads Pedersens tidligere ressort-områder,4,
78,85002,3_articles,https://www.sermitsiaq.ag/samfund/olsvig-de-store-magter-har-faet-ojnene-op-for-arktis-vi-ma-insistere-pa-diplomatiets-vej/2327796,Olsvig: De store magter har fået øjnene op for Arktis – vi må insistere på diplomatiets vej,4,
79,86000,1_full,https://www.sermitsiaq.ag/samfund/udvalgsformand-er-fortrostningsfuld-haber-at-usa-mode-er-starten-pa-taettere-dialog/2329198,Udvalgsformand er fortrøstningsfuld: Håber at USA-møde er starten på tættere dialog,12,
80,87000,2_articles,https://www.sermitsiaq.ag/samfund/amerikanske-politikere-gar-i-offensiven-for-gronland/2329076,Amerikanske politikere går i offensiven for Grønland,6,
80,87001,2_articles,https://www.sermitsiaq.ag/samfund/usas-udsending-til-gronland-er-blevet-inviteret-til-hundeslaedevaeddelob-helt-upassende-siger-knqk/2329032,"USA's udsending til Grønland er blevet inviteret til hundeslædevæddeløb - helt upassende, siger KNQK",6,
81,88000,1_full,https://www.sermitsiaq.ag/samfund/det-hvide-hus-deler-billeder-med-kort-over-gronland/2329042,Det Hvide Hus deler billeder med kort over Grønland,12,
82,89000,2_articles,https://www.sermitsiaq.ag/erhverv/naturinstitut-hvaler-er-ikke-skraemt-vaek-af-stoj/2328033,Naturinstitut: Hvaler er ikke skræmt væk af støj,5,
82,89001,2_articles,https://www.sermitsiaq.ag/samfund/naalakkersuisut-fastslar-gronland-er-en-del-af-kongeriget-danmark-onsker-forsvar-via-nato/2328844,Naalakkersuisut fastslår: Grønland er en del af Kongeriget Danmark – ønsker forsvar via Nato,7,
83,90000,2_articles,https://www.sermitsiaq.ag/samfund/iran-er-klar-pa-bade-krig-og-forhandlinger-efter-advarsel-fra-trump/2328985,Iran er klar på både krig og forhandlinger efter advarsel fra Trump,6,
83,90001,2_articles,https://www.sermitsiaq.ag/samfund/medalje-for-heltedad/2327705,Medalje for heltedåd,6,
84,91000,2_articles,https://www.sermitsiaq.ag/samfund/efter-ulmende-uenighed-folketingspolitiker-kommer-med-bon-til-gronland/2328725,Efter ulmende uenighed: Folketingspolitiker kommer med bøn til Grønland,6,
84,91001,2_articles,https://www.sermitsiaq.ag/samfund/uenighed-med-danmark-og-tvetydige-udmeldinger-bekraefter-amerikanernes-vaerste-anelser/2328527,Uenighed med Danmark og tvetydige udmeldinger bekræfter amerikanernes værste anelser,6,
85,92000,2_articles,https://www.sermitsiaq.ag/samfund/du-kunne-laere-meget-af-den-inuitiske-spiritualitet/2327470,– Du kunne lære meget af den inuitiske spiritualitet,6,
85,92001,2_articles,https://www.sermitsiaq.ag/erhverv/royal-greenland-ansaetter-ny-produktionsdirektor/2328647,Royal Greenland ansætter ny produktionsdirektør,6,
86,93000,2_articles,https://www.sermitsiaq.ag/samfund/trump-gronland-bor-indga-en-aftale/2328511,Trump: Grønland bør indgå en aftale,6,
86,93001,2_articles,https://www.sermitsiaq.ag/samfund/avannaata-kommunia-og-greenland-airports-er-uenige-om-vandregning/2328445,Avannaata Kommunia og Greenland Airports er uenige om vandregning,6,
87,94000,1_full,https://www.sermitsiaq.ag/samfund/senatorer-fra-usa-kommer-til-danmark-midt-i-gronland-krise/2328484,Senatorer fra USA kommer til Danmark midt i Grønland-krise,12,
88,95000,2_articles,https://www.sermitsiaq.ag/samfund/okonomisk-ulighed-kan-ikke-vurderes-ud-fra-regnskaber-alene/2326226,Økonomisk ulighed kan ikke vurderes ud fra regnskaber alene,6,
88,95001,2_articles,https://www.sermitsiaq.ag/kultur/lokale-ildsjaele-haedres-aerespriser-i-sisimiut-maniitsoq-og-napasoq/2326723,"Lokale ildsjæle hædres: Ærespriser i Sisimiut, Maniitsoq og Napasoq",6,
89,96000,2_articles,https://www.sermitsiaq.ag/samfund/aaja-chemnitz-der-er-stadig-opgaver-der-skal-loses-pa-forsvarsomradet/2324317,"Aaja Chemnitz: Der er stadig opgaver, der skal løses på forsvarsområdet",6,
89,96001,2_articles,https://www.sermitsiaq.ag/samfund/aleqa-hammond-om-21-kommissionen-siumut-satser-pa-forfatningsudkastet/2327237,Aleqa Hammond om § 21-kommissionen: Siumut satser på forfatningsudkastet,6,
90,97000,2_articles,https://www.sermitsiaq.ag/erhverv/sikuaq-trawl-direktor-carl-christensen-de-ma-grine-af-os-gronlaendere-i-island-og-pa-faeroerne/2326673,Sikuaq Trawl-direktør Carl Christensen: De må grine af os grønlændere i Island og på Færøerne,6,
90,97001,2_articles,https://www.sermitsiaq.ag/samfund/for-i-tiden-var-natten-delt-i-to-men-samfundet-aendrede-vores-tidsfornemmelse/2327048,"Før i tiden var natten delt i to, men samfundet ændrede vores tidsfornemmelse",6,
91,98000,2_articles,https://www.sermitsiaq.ag/sport/herrelandsholdet-og-fokusholdet-abner-2026-med-kamp-om-pladserne-i-paris/2326217,Herrelandsholdet og fokusholdet åbner 2026 med kamp om pladserne i Paris,6,
91,98001,2_articles,https://www.sermitsiaq.ag/samfund/fire-artiers-engagement-debora-fejret-ved-nanortallip-atuarfia/2326736,Fire årtiers engagement: Debora fejret ved Nanortallip Atuarfia,6,
92,99000,1_full,https://www.sermitsiaq.ag/kultur/et-levende-jagtlandskab-mellem-is-hav-og-unesco/2324631,"Et levende jagtlandskab – mellem is, hav og UNESCO",12,
93,100000,2_articles,https://www.sermitsiaq.ag/samfund/kobstilbud-kan-vaere-pa-vej-til-trods-for-massiv-afvisning/2327475,Købstilbud kan være på vej til trods for massiv afvisning,6,
93,100001,2_articles,https://www.sermitsiaq.ag/samfund/fire-ud-af-ti-danskere-tror-at-trump-vil-invadere/2328369,"Fire ud af ti danskere tror, at Trump vil invadere",6,
94,101000,2_articles,https://www.sermitsiaq.ag/samfund/trump-vil-eje-gronland-for-at-afskraekke-kina-og-rusland-vil-have-en-aftale-pa-den-nemme-eller-harde-made/2328337,Trump: USA skal eje Grønland for afskrækkelse – vil have en aftale på den nemme eller hårde måde,5,
94,101001,2_articles,https://www.sermitsiaq.ag/sport/fra-langrend-til-ledelse-en-passion-for-idraet/2325620,Fra langrend til ledelse – en passion for idræt,7,
95,102000,2_articles,https://www.sermitsiaq.ag/samfund/samtlige-partier-i-faelles-udtalelse-ingen-andre-lande-skal-blande-sig/2328312,Samtlige partier i fælles udtalelse: Ingen andre lande skal blande sig,6,
95,102001,2_articles,https://www.sermitsiaq.ag/samfund/amerikansk-forslag-til-resolution-om-forbud-mod-brug-af-militaer-aktion-mod-gronland/2328212,Senator introducerer forslag til resolution om forbud mod brug af militær mod Grønland,6,
96,103000,2_articles,https://www.sermitsiaq.ag/samfund/kort-nyt/2326154,Kort Nyt,6,
96,103001,2_articles,https://www.sermitsiaq.ag/samfund/vi-skal-sikre-at-vi-kan-blive-boende-i-gronland/2326922,"– Vi skal sikre, at vi kan blive boende i Grønland",6,
97,104000,2_articles,https://www.sermitsiaq.ag/erhverv/olympisk-fiskeri-efter-torsk-og-hellefisk-kan-fortsaette-med-2025-licenser/2327976,Olympisk fiskeri efter torsk og hellefisk kan fortsætte med 2025-licenser,6,
97,104001,2_articles,https://www.sermitsiaq.ag/samfund/man-taenker-hvad-er-det-naeste/2327447,"– Man tænker, hvad er det næste?",6,
98,105000,2_articles,https://www.sermitsiaq.ag/samfund/17-arig-pige-overfaldet-flere-unge-anholdt/2328036,17-årig pige overfaldet – flere unge anholdt,6,
98,105001,2_articles,https://www.sermitsiaq.ag/samfund/atypisk-vejrhold-for-arstiden/2326452,Atypiske vejrforhold for årstiden,6,
99,106000,1_full,https://www.sermitsiaq.ag/samfund/stille-protest-foran-ambassaden-i-kobenhavn/2327911,Ludvig Hammeken udførte stille protest foran USA's ambassade,12,
100,107000,2_articles,https://www.sermitsiaq.ag/samfund/det-her-land-er-ikke-et-tag-selv-bord/2327169,– Det her land er ikke et tag-selv-bord,6,
100,107001,2_articles,https://www.sermitsiaq.ag/samfund/minedrift-skal-bidrage-til-lokalsamfundet/2327427,Minedrift skal bidrage til lokalsamfundet,6,
101,108000,2_articles,https://www.sermitsiaq.ag/erhverv/usa-godkender-salg-af-overvagningsfly-til-danmark/2327219,USA godkender salg af overvågningsfly til Danmark,6,
101,108001,2_articles,https://www.sermitsiaq.ag/samfund/trump-ejerskab-over-gronland-er-et-psykologisk-behov/2327753,Trump: Ejerskab over Grønland giver noget en traktat ikke kan,6,
102,109000,1_full,https://www.sermitsiaq.ag/sport/en-fejring-af-faellesskab-og-fremragende-praestationer/2326935,En fejring af fællesskab og fremragende præstationer,12,
103,110000,2_articles,https://www.sermitsiaq.ag/erhverv/politisk-fokus-lofter-gronlandsbankens-aktiekurs/2327655,Politisk fokus løfter Grønlandsbankens aktiekurs,6,
103,110001,2_articles,https://www.sermitsiaq.ag/samfund/kaja-kallas-kalder-usas-udmeldinger-om-gronland-for-meget-bekymrende/2327647,Kaja Kallas kalder USA's udmeldinger om Grønland for meget bekymrende,6,
104,111000,2_articles,https://www.sermitsiaq.ag/samfund/et-ar-med-trump-fa-et-overblik-her/2327013,Få et overblik her,6,
104,111001,2_articles,https://www.sermitsiaq.ag/samfund/to-personer-stukket-med-kniv-i-nuuk/2326198,To personer stukket med kniv i Nuuk,6,
105,112000,2_articles,https://www.sermitsiaq.ag/erhverv/kommunalbestyrelse-giver-afslag-dynamisk-duo-far-nej-til-at-bygge-et-10-etagers-hotel/2325768,"Kommunalbestyrelse giver afslag:Dynamisk duo får nej til at bygge et 10-etagers hotel",5,
105,112001,2_articles,https://www.sermitsiaq.ag/samfund/kaere-trump/2327059,"– Venskab bygger på respekt, ikke på opkøb",7,
106,113000,2_articles,https://www.sermitsiaq.ag/samfund/forsker-frygter-konsekvenserne-hvis-ikke-gronland-og-danmark-enes-inden-mode-med-usa/2327532,Forsker: Det kan få alvorlige konsekvenser hvis ikke Grønland og Danmark enes inden møde med USA,6,
106,113001,2_articles,https://www.sermitsiaq.ag/samfund/medie-heftig-diskussion-pa-teams-mode-mellem-nuuk-og-kobenhavn-formand-vil-forbedre-kommunikation/2327337,Medie: Heftig diskussion på Teams-møde mellem Nuuk og København - formand vil forbedre kommunikation,6,
107,114000,1_full,https://www.sermitsiaq.ag/samfund/trump-radgiver-ingen-vil-kaempe-militaert-mod-usa-om-gronlands-fremtid/2325969,Trump-rådgiver: Ingen vil kæmpe militært mod USA om Grønlands fremtid,12,
108,115000,3_articles,https://www.sermitsiaq.ag/samfund/lettet-vivian-mit-storste-hab-er-en-normalisering/2327118,Lettet Vivian: Mit største håb er en normalisering,4,
108,115001,3_articles,https://www.sermitsiaq.ag/samfund/senatorer-i-usa-venter-at-stemme-mod-et-angreb-pa-gronland/2327209,Senatorer i USA venter at stemme mod et angreb på Grønland,4,
108,115002,3_articles,https://www.sermitsiaq.ag/samfund/pipaluk-lynge-kritiserer-folketinget-og-den-danske-regering-for-manglende-inddragelse/2326985,Pipaluk Lynge kritiserer Folketinget og den danske regering for manglende inddragelse,4,
109,116000,2_articles,https://www.sermitsiaq.ag/samfund/professor-trump-drommer-om-at-udvide-territoriet-og-gronland-er-eneste-oplagte-mulighed/2326629,Professor: Trump drømmer om at udvide territoriet og Grønland er eneste oplagte mulighed,6,
109,116001,2_articles,https://www.sermitsiaq.ag/samfund/arbejdstilsynet-far-ny-kredschef-i-gronland/2326662,Arbejdstilsynet får ny kredschef i Grønland,6,
110,117000,1_full,https://www.sermitsiaq.ag/samfund/ordre-palaegger-danske-soldater-at-svare-igen-ved-angreb-pa-gronland/2326468,Ordre pålægger danske soldater at svare igen ved angreb på Grønland,12,
